ticker,as_of,current_revenue_ttm,current_market_cap,current_ps,hist_median_ps,hist_p75_ps,hist_p90_ps,forward_revenue_estimate,forward_revenue_growth,forward_ps,required_revenue,required_growth,growth_gap,years_to_normalise,expectations_burden_score,expectations_classification,plain_explanation,target_multiple_value,target_multiple_label,valuation_anchor_confidence,valuation_anchor_observation_count,revenue_data_cadence,gross_margin,operating_margin,net_margin,net_debt_to_ebitda,interest_coverage,free_cash_flow_ttm,fcf_margin,cash_conversion,quality_flag,revenue_currency,price_currency,fx_rate_applied,currency_note,revenue_cagr_3y,revenue_cagr_5y,roic,share_count_cagr_3y,buybacks_ttm,dividends_ttm,acquisitions_ttm,price_return_6m,benchmark_symbol,benchmark_return_6m,relative_strength_6m,eps_revisions_up_30d,eps_revisions_down_30d,section,section_target_pct,layer,portfolio_weight,thesis
CEG,2026-07-27T05:19:49.487724+00:00,29867000000.0,97970937856.0,3.2802403273177756,4.10335451881245,4.526588295898581,4.780528562150259,35604052210.0,0.19208665784980083,2.751679423402351,23875816093.1105,-0.2005954366655338,-0.39268209451533465,0.0,0.0,Forward Expectations Manageable,Already trades at or below its historical valuation norm (needs 0% growth) -- 19% forecast growth would be upside on top of an already-fair price.,4.10335451881245,Historical Median Tactical Anchor,low,2,quarterly,0.22847959286168681,0.16851374426624702,0.12692938694880637,2.631924198250729,8.14401294498382,1137000000.0,0.03806877155388891,0.2999208652070694,Solid,USD,USD,1.0,,0.01469039149633189,,0.13986001715566546,-0.015225459740157432,400000000.0,519000000.0,2537000000.0,,^GSPC,,,2.0,2.0,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
PWR,2026-07-27T05:19:49.487724+00:00,30121150000.0,93913645056.0,3.117863861638749,2.5440559331535217,2.6683121733094732,2.7428659174030443,39747116980.0,0.31957501556215484,2.362778792314813,36914929358.328995,0.22554847203141293,-0.09402654353074191,0.7334343384721846,0.0,Forward Expectations Manageable,Needs 23% growth to look fairly valued by its own history; analysts expect 32% -- the bar is comfortably cleared if the forecast is anywhere close to right.,2.5440559331535217,Historical Median Tactical Anchor,low,2,quarterly,0.15100263436156985,0.056132982970437714,0.03667672051033908,2.200840877777055,6.029921540656205,1682031000.0,0.05584219062021204,1.5225513580056935,Solid,USD,USD,1.0,,0.18595310976676038,,0.07977545401813067,0.015267338756738136,15987000.0,62113000.0,2829689000.0,,^GSPC,,,1.0,0.0,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
CWCO,2026-07-27T05:19:49.487724+00:00,128331683.0,469125568.0,3.6555709161859897,4.212933719056502,4.2153206867239295,4.216752867324387,188200000.0,0.4665123654616141,2.4926969606801275,111353655.02618493,-0.13229802319209882,-0.5988103886537129,0.0,0.0,Forward Expectations Manageable,Already trades at or below its historical valuation norm (needs 0% growth) -- 47% forecast growth would be upside on top of an already-fair price.,4.212933719056502,Historical Median Tactical Anchor,low,2,quarterly,0.3661491449465367,0.13384924594186146,0.13498672030974612,-4.410110434535619,3052.0787135749824,27868895.0,0.21716301343916763,1.6087731662852198,Solid,USD,USD,1.0,,0.11961204239969647,,0.16268500600474994,0.013359485421161388,26814.0,8460840.0,50000.0,,^GSPC,,,0.0,1.0,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
XYL,2026-07-27T05:19:49.487724+00:00,9091000000.0,28463794176.0,3.130986049499505,3.394158923886785,3.5121962060870158,3.583018575407155,9614831400.0,0.05762087779122216,2.9604049194247963,8386111202.891169,-0.07753699231204836,-0.13515787010327052,0.0,0.0,Forward Expectations Manageable,Already trades at or below its historical valuation norm (needs 0% growth) -- 6% forecast growth would be upside on top of an already-fair price.,3.394158923886785,Historical Median Tactical Anchor,low,2,quarterly,0.3860961390386096,0.14838851611483886,0.10790892091079089,0.694952856350527,53.96,966000000.0,0.10625893741062589,0.9847094801223242,Solid,USD,USD,1.0,,0.1783579915890725,,0.08841499021869252,0.10568476037487806,565000000.0,399000000.0,155000000.0,,^GSPC,,,2.0,0.0,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
ECL,2026-07-27T05:19:49.487724+00:00,16452300000.0,75636326400.0,4.59731018763334,4.544840614436318,4.5629819359713135,4.573866728892312,19271520810.0,0.17135724549151177,3.924772058505745,16642239589.161245,0.011544865408559701,-0.15981238008295207,0.07257527735071577,0.0,Forward Expectations Manageable,Needs 1% growth to look fairly valued by its own history; analysts expect 17% -- the bar is comfortably cleared if the forecast is anywhere close to right.,4.544840614436318,Historical Median Tactical Anchor,low,2,quarterly,0.44288032676282346,0.18089264115047743,0.12798818402290257,2.2367788461538463,9.569453376205788,1870200000.0,0.11367407596506264,0.8881607066533694,Solid,USD,USD,1.0,,0.04264019904644334,,0.13113358661603908,-0.002911144924141462,974500000.0,777500000.0,1621300000.0,,^GSPC,,,1.0,3.0,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
WM,2026-07-27T05:19:49.487724+00:00,25413000000.0,95876210688.0,3.7727230428520837,3.585759062312726,3.6449048508095236,3.680392323907602,28011970130.0,0.10226931609806011,3.4226871670593204,26738051559.482697,0.05214069804756205,-0.050128618050498064,0.5219912763105862,0.0,Forward Expectations Manageable,Needs 5% growth to look fairly valued by its own history; analysts expect 10% -- the bar is comfortably cleared if the forecast is anywhere close to right.,3.585759062312726,Historical Median Tactical Anchor,low,2,quarterly,0.40742926848463384,0.18376421516546648,0.10994372958721914,3.098405342783154,5.1602209944751385,3290000000.0,0.12946129933498604,1.1775232641374374,Watch: high leverage,USD,USD,1.0,,0.08563152473174229,,0.1114154026028452,-0.00405726378840221,344000000.0,1383000000.0,300000000.0,,^GSPC,,,14.0,10.0,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
RSG,2026-07-27T05:19:49.487724+00:00,16695000000.0,66735419392.0,3.9973297030248576,4.0126820362657645,4.056884966667584,4.083406724908676,18036395150.0,0.08034711889787371,3.70004198937724,16631125713.141363,-0.0038259530912631012,-0.08417307198913682,0.0,0.0,Forward Expectations Manageable,Already trades at or below its historical valuation norm (needs 0% growth) -- 8% forecast growth would be upside on top of an already-fair price.,4.0126820362657645,Historical Median Tactical Anchor,low,2,quarterly,0.4200658879904163,0.20047918538484577,0.1299191374663073,2.7245952798907744,5.7213675213675215,2594000000.0,0.1553758610362384,1.1959428307976026,Solid,USD,USD,1.0,,0.07084929833650078,,0.10659605105335666,-0.008615616429965334,1107000000.0,750000000.0,1024000000.0,,^GSPC,,,0.0,1.0,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
VRT,2026-07-27T05:19:49.487724+00:00,10843400000.0,111529828352.0,10.285503472342624,7.891163522786462,8.57249392947352,8.981292173485757,17869199440.0,0.6479332534076028,6.241456352115123,14133508706.28233,0.3034203945517393,-0.34451285885586347,0.5304909885891076,0.0,Forward Expectations Manageable,Needs 30% growth to look fairly valued by its own history; analysts expect 65% -- the bar is comfortably cleared if the forecast is anywhere close to right.,7.891163522786462,Historical Median Tactical Anchor,low,2,quarterly,0.37150709187155323,0.1877086522677389,0.14371875979858717,0.4812143720849888,23.63995354239257,2275700000.0,0.209869598096538,1.4602797741273101,Solid,USD,USD,1.0,,0.2158543401649824,,0.26666323616444226,0.004559002986515459,0.0,76300000.0,977400000.0,,^GSPC,,,2.0,0.0,INFRA,0.14,Layer 3: Tech-Adjacent,0.004,"Data center liquid cooling, fuel cells, networking switches, and zero-trust/perimeter cloud cybersecurity infrastructure."
BE,2026-07-27T05:19:49.487724+00:00,2449027000.0,52590825472.0,21.474171363566022,15.175151946111752,15.463994486556558,15.637300010823443,6464053910.0,1.6394375848040874,8.135889057274277,3465588065.197269,0.41508773288218914,-1.2243498519218983,0.3577207339448805,0.0,Forward Expectations Manageable,Needs 42% growth to look fairly valued by its own history; analysts expect 164% -- the bar is comfortably cleared if the forecast is anywhere close to right.,15.175151946111752,Historical Median Tactical Anchor,low,2,quarterly,0.29572438360214076,0.06699068650529373,0.0024634273121529487,4.062846744485376,3.4122002454191884,229559000.0,0.0937347771176063,38.0505552792972,Watch: high leverage,USD,USD,1.0,,0.19064306780764095,,0.05572356360769546,0.10838234605255259,,0.0,31769000.0,,^GSPC,,,2.0,0.0,INFRA,0.14,Layer 3: Tech-Adjacent,0.004,"Data center liquid cooling, fuel cells, networking switches, and zero-trust/perimeter cloud cybersecurity infrastructure."
ANET,2026-07-27T05:19:49.487724+00:00,9709900000.0,219082899456.0,22.562837872274688,17.804759087390877,18.493275213846793,18.906384889720346,14378342230.0,0.48079199888773316,15.237006878226182,12304738209.636993,0.2672363474018262,-0.21355565148590694,0.6032915255627761,0.0,Forward Expectations Manageable,Needs 27% growth to look fairly valued by its own history; analysts expect 48% -- the bar is comfortably cleared if the forecast is anywhere close to right.,17.804759087390877,Historical Median Tactical Anchor,low,2,quarterly,0.6353721459541293,0.4279240774879247,0.3831656350734817,,,5278100000.0,0.5435792335657422,1.4186534068001613,Solid,USD,USD,1.0,,0.27146525721597636,,0.30488116169734253,0.007797449220915187,816000000.0,,0.0,,^GSPC,,,0.0,0.0,INFRA,0.14,Layer 3: Tech-Adjacent,0.004,"Data center liquid cooling, fuel cells, networking switches, and zero-trust/perimeter cloud cybersecurity infrastructure."
