ticker,as_of,current_revenue_ttm,current_market_cap,current_ps,hist_median_ps,hist_p75_ps,hist_p90_ps,forward_revenue_estimate,forward_revenue_growth,forward_ps,required_revenue,required_growth,growth_gap,years_to_normalise,expectations_burden_score,expectations_classification,plain_explanation,target_multiple_value,target_multiple_label,valuation_anchor_confidence,valuation_anchor_observation_count,revenue_data_cadence,gross_margin,operating_margin,net_margin,net_debt_to_ebitda,interest_coverage,free_cash_flow_ttm,fcf_margin,cash_conversion,quality_flag,revenue_currency,price_currency,fx_rate_applied,currency_note,revenue_cagr_3y,revenue_cagr_5y,roic,share_count_cagr_3y,buybacks_ttm,dividends_ttm,acquisitions_ttm,price_return_6m,benchmark_symbol,benchmark_return_6m,relative_strength_6m,eps_revisions_up_30d,eps_revisions_down_30d,section,section_target_pct,layer,portfolio_weight,thesis
PWR,2026-07-28T11:30:02.963670+00:00,30121150000.0,93079314432.0,3.0901646992893697,2.5440559331535217,2.6683121733094732,2.7428659174030443,39747116980.0,0.31957501556215484,2.341787820204312,36586976417.85815,0.21466067589909898,-0.10491433966305586,0.7012547338296748,0.0,Forward Expectations Manageable,Needs 21% growth to look fairly valued by its own history; analysts expect 32% -- the bar is comfortably cleared if the forecast is anywhere close to right.,2.5440559331535217,Historical Median Tactical Anchor,low,2,quarterly,0.15100263436156985,0.056132982970437714,0.03667672051033908,2.200840877777055,6.029921540656205,1682031000.0,0.05584219062021204,1.5225513580056935,Solid,USD,USD,1.0,,0.18595310976676038,,0.07977545401813067,0.015267338756738136,15987000.0,62113000.0,2829689000.0,0.29467039032982245,^GSPC,0.06227324564291248,0.23239714468690997,1.0,0.0,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
CWCO,2026-07-28T11:30:02.963670+00:00,128331683.0,472325632.0,3.6805068004913486,4.212933719056502,4.2153206867239295,4.216752867324387,188200000.0,0.4665123654616141,2.509700488841658,112113235.92951721,-0.12637913484297392,-0.592891500304588,0.0,0.0,Forward Expectations Manageable,Already trades at or below its historical valuation norm (needs 0% growth) -- 47% forecast growth would be upside on top of an already-fair price.,4.212933719056502,Historical Median Tactical Anchor,low,2,quarterly,0.3661491449465367,0.13384924594186146,0.13498672030974612,-4.410110434535619,3052.0787135749824,27868895.0,0.21716301343916763,1.6087731662852198,Solid,USD,USD,1.0,,0.11961204239969647,,0.16268500600474994,0.013359485421161388,26814.0,8460840.0,50000.0,-0.2196312310832078,^GSPC,0.06227324564291248,-0.2819044767261203,0.0,1.0,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
XYL,2026-07-28T11:30:02.963670+00:00,9091000000.0,28561250304.0,3.141706116378836,3.394158923886785,3.5121962060870158,3.583018575407155,9614831400.0,0.05762087779122216,2.970540939906653,8414824097.65698,-0.07437860547167752,-0.13199948326289968,0.0,0.0,Forward Expectations Manageable,Already trades at or below its historical valuation norm (needs 0% growth) -- 6% forecast growth would be upside on top of an already-fair price.,3.394158923886785,Historical Median Tactical Anchor,low,2,quarterly,0.3860961390386096,0.14838851611483886,0.10790892091079089,0.694952856350527,53.96,966000000.0,0.10625893741062589,0.9847094801223242,Solid,USD,USD,1.0,,0.1783579915890725,,0.08841499021869252,0.10568476037487806,565000000.0,399000000.0,155000000.0,-0.13795236585086312,^GSPC,0.06227324564291248,-0.2002256114937756,2.0,0.0,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
ECL,2026-07-28T11:30:02.963670+00:00,16452300000.0,76376514560.0,4.64230013797463,4.544840614436318,4.5629819359713135,4.573866728892312,19271520810.0,0.17135724549151177,3.9631804522852287,16805102981.476665,0.021443991507367643,-0.14991325398414412,0.13414824352807886,0.0,Forward Expectations Manageable,Needs 2% growth to look fairly valued by its own history; analysts expect 17% -- the bar is comfortably cleared if the forecast is anywhere close to right.,4.544840614436318,Historical Median Tactical Anchor,low,2,quarterly,0.44288032676282346,0.18089264115047743,0.12798818402290257,2.2367788461538463,9.569453376205788,1870200000.0,0.11367407596506264,0.8881607066533694,Solid,USD,USD,1.0,,0.04264019904644334,,0.13113358661603908,-0.002911144924141462,974500000.0,777500000.0,1621300000.0,-0.03956876296381495,^GSPC,0.06227324564291248,-0.10184200860672743,1.0,3.0,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
WM,2026-07-28T11:30:02.963670+00:00,25413000000.0,95534866432.0,3.759291167197891,3.585759062312726,3.6449048508095236,3.680392323907602,28011970130.0,0.10226931609806011,3.41050151019849,26642857138.979767,0.048394803406908604,-0.05387451269115151,0.48536219313091694,0.0,Forward Expectations Manageable,Needs 5% growth to look fairly valued by its own history; analysts expect 10% -- the bar is comfortably cleared if the forecast is anywhere close to right.,3.585759062312726,Historical Median Tactical Anchor,low,2,quarterly,0.40742926848463384,0.18376421516546648,0.10994372958721914,3.098405342783154,5.1602209944751385,3290000000.0,0.12946129933498604,1.1775232641374374,Watch: high leverage,USD,USD,1.0,,0.08563152473174229,,0.1114154026028452,-0.00405726378840221,344000000.0,1383000000.0,300000000.0,0.036919653729934554,^GSPC,0.06227324564291248,-0.025353591912977924,14.0,10.0,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
RSG,2026-07-28T11:30:02.963670+00:00,16695000000.0,66732339200.0,3.997145205151243,4.0126820362657645,4.056884966667584,4.083406724908676,18036395150.0,0.08034711889787371,3.6998712129014315,16630358098.869371,-0.0038719317838052936,-0.08421905068167901,0.0,0.0,Forward Expectations Manageable,Already trades at or below its historical valuation norm (needs 0% growth) -- 8% forecast growth would be upside on top of an already-fair price.,4.0126820362657645,Historical Median Tactical Anchor,low,2,quarterly,0.4200658879904163,0.20047918538484577,0.1299191374663073,2.7245952798907744,5.7213675213675215,2594000000.0,0.1553758610362384,1.1959428307976026,Solid,USD,USD,1.0,,0.07084929833650078,,0.10659605105335666,-0.008615616429965334,1107000000.0,750000000.0,1024000000.0,0.00442534092041269,^GSPC,0.06227324564291248,-0.05784790472249979,0.0,1.0,INFRA,0.14,Layer 2: Grid & Utilities,0.004307692307692308,"Industrial gases, power electrification, grid equipment, clean nuclear energy for data centers, water tech, and environmental waste."
VRT,2026-07-28T11:30:02.963670+00:00,10843400000.0,110469693440.0,10.187735713890477,7.89116380925238,8.57249407270648,8.98129223077894,17869199440.0,0.6479332534076028,6.182128853109941,13999163635.467104,0.2910308238621746,-0.35690242954542817,0.5113709181918842,0.0,Forward Expectations Manageable,Needs 29% growth to look fairly valued by its own history; analysts expect 65% -- the bar is comfortably cleared if the forecast is anywhere close to right.,7.89116380925238,Historical Median Tactical Anchor,low,2,quarterly,0.37150709187155323,0.1877086522677389,0.14371875979858717,0.4812143720849888,23.63995354239257,2275700000.0,0.209869598096538,1.4602797741273101,Solid,USD,USD,1.0,,0.2158543401649824,,0.26666323616444226,0.004559002986515459,0.0,76300000.0,977400000.0,0.5206822553611921,^GSPC,0.06227324564291248,0.4584090097182796,2.0,0.0,INFRA,0.14,Layer 3: Tech-Adjacent,0.004,"Data center liquid cooling, fuel cells, networking switches, and zero-trust/perimeter cloud cybersecurity infrastructure."
BE,2026-07-28T11:30:02.963670+00:00,2449027000.0,53526646784.0,21.85629100210002,15.175151946111752,15.463994486556558,15.637300010823443,6464053910.0,1.6394375848040874,8.280662186494666,3527256067.9509273,0.4402683465518866,-1.1991692382522008,0.37589355203441166,0.0,Forward Expectations Manageable,Needs 44% growth to look fairly valued by its own history; analysts expect 164% -- the bar is comfortably cleared if the forecast is anywhere close to right.,15.175151946111752,Historical Median Tactical Anchor,low,2,quarterly,0.29572438360214076,0.06699068650529373,0.0024634273121529487,4.062846744485376,3.4122002454191884,229559000.0,0.0937347771176063,38.0505552792972,Watch: high leverage,USD,USD,1.0,,0.19064306780764095,,0.05572356360769546,0.10838234605255259,,0.0,31769000.0,0.23550650444589682,^GSPC,0.06227324564291248,0.17323325880298435,2.0,0.0,INFRA,0.14,Layer 3: Tech-Adjacent,0.004,"Data center liquid cooling, fuel cells, networking switches, and zero-trust/perimeter cloud cybersecurity infrastructure."
ANET,2026-07-28T11:30:02.963670+00:00,9709900000.0,215015768064.0,22.143973476966806,17.804759087390877,18.493275213846793,18.906384889720346,14378342230.0,0.48079199888773316,14.954141765757651,12076308755.914124,0.24371092966087438,-0.2370810692268588,0.555558659207058,0.0,Forward Expectations Manageable,Needs 24% growth to look fairly valued by its own history; analysts expect 48% -- the bar is comfortably cleared if the forecast is anywhere close to right.,17.804759087390877,Historical Median Tactical Anchor,low,2,quarterly,0.6353721459541293,0.4279240774879247,0.3831656350734817,,,5278100000.0,0.5435792335657422,1.4186534068001613,Solid,USD,USD,1.0,,0.27146525721597636,,0.30488116169734253,0.007797449220915187,816000000.0,,0.0,0.1640874747073795,^GSPC,0.06227324564291248,0.10181422906446702,0.0,0.0,INFRA,0.14,Layer 3: Tech-Adjacent,0.004,"Data center liquid cooling, fuel cells, networking switches, and zero-trust/perimeter cloud cybersecurity infrastructure."
FTNT,2026-07-28T11:30:02.963670+00:00,7109500000.0,111640961024.0,15.703067870314369,8.451410725113194,8.478147223087142,8.49418912187151,8643998110.0,0.21583769744707793,12.915430984979704,13209742687.367113,0.8580410278313684,0.6422033303842904,3.1699956715502515,74.84529405399287,Forward Expectations Stretched,"Needs 86% growth to look fairly valued by its own history, but analysts only expect 22% -- the price is asking for more growth than is currently forecast.",8.451410725113194,Historical Median Tactical Anchor,low,2,quarterly,0.8030381883395457,0.3109782685139602,0.27491384766861243,-0.665536244171259,113.9639175257732,2435500000.0,0.3425698009705324,1.2460987464824764,Solid,USD,USD,1.0,,0.15461947760091377,,,-0.01669870648625338,3112800000.0,,30400000.0,0.8648880992555201,^GSPC,0.06227324564291248,0.8026148536126076,39.0,0.0,INFRA,0.14,Layer 3: Tech-Adjacent,0.004,"Data center liquid cooling, fuel cells, networking switches, and zero-trust/perimeter cloud cybersecurity infrastructure."
